Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
Nomura Holdings, Inc.	Nomura Asset Management U.K. Ltd.	Europe	Financial investor
Fairtree Capital Pty Ltd.	Fairtree Capital Pty Ltd.	Africa	Financial investor
Ardevora Asset Management LLP	Ardevora Asset Management LLP	Europe	Financial investor
Somerset Capital Management LLP	Somerset Capital Management LLP	Europe	Financial investor
AQR Capital Management Group LP	AQR Capital Management LLC	North America	Financial investor
Sygnia Ltd.	Sygnia Asset Management (Pty) Ltd.	Africa	Financial investor
Polar Capital Holdings Plc	Polar Capital LLP	Europe	Financial investor
CoreManagement LLC	CoreCommodity Management LLC	North America	Financial investor
Financiere SYZ SA	SYZ Asset Management (Suisse) SA	Europe	Financial investor
New York Life Insurance Co.	IndexIQ Advisors LLC	North America	Financial investor
Riverfield Partners LLP	Riverfield Partners LLP	Europe	Financial investor
Visio Capital Management (Pty) Ltd.	Visio Capital Management (Pty) Ltd.	Africa	Financial investor
Schultze Asset Management LP	Schultze Asset Management LP	North America	Financial investor
Mazi Capital (Pty) Ltd.	Mazi Capital (Pty) Ltd.	Africa	Financial investor
Timelo Investment Management, Inc.	Timelo Investment Management, Inc.	North America	Financial investor
Picton Mahoney Asset Management	Picton Mahoney Asset Management	North America	Financial investor
GAM Holding AG	GAM International Management Ltd.	Europe	Financial investor
Coliseum Capital Management LP	Coliseum Capital Management LLC	North America	Financial investor
Anavon Capital LLP	Anavon Capital LLP	Europe	Financial investor
RWC Partners Ltd.	RWC Asset Management LLP	Europe	Financial investor
Algert Global LLC	Algert Global LLC	North America	Financial investor
PYN Fund Management Ltd.	PYN Fund Management Ltd.	Europe	Financial investor
P. Schoenfeld Asset Management LP (New York)	P. Schoenfeld Asset Management LP (New York)	North America	Financial investor
SPARAGGIS PANAYOTIS D	Alkeon Capital Management LLC	North America	Financial investor
Algebris Investments (Cayman) Ltd.	Algebris Investments (UK) LLP	Europe	Financial investor
Gavea Investimentos Ltda.	Gavea Investimentos Ltda.	Latin America	Financial investor
Tetrem Capital Management Ltd.	Tetrem Capital Management Ltd.	North America	Financial investor
Aquila Holding GmbH	Aquila Capital Concepts GmbH	Europe	Financial investor
Third Point LLC	Third Point LLC	North America	Financial investor
Verner Investissements SAS	Exane Asset Management SA	Europe	Financial investor
Cordium Consulting Group Ltd.	Mirabella Financial Services LLP	Europe	Financial investor
Ranmore Fund Management Ltd.	Ranmore Fund Management Ltd.	Europe	Financial investor
Chilton Investment Co., Inc.	Chilton Investment Co. Ltd.	Europe	Financial investor
Breton Hill Capital Ltd.	Breton Hill Capital Ltd.	North America	Financial investor
Verrazzano Capital SAS	Verrazzano Capital SAS	Europe	Financial investor
Prospector Partners LLC	Prospector Partners LLC	North America	Financial investor
Sirios Capital Management LP	Sirios Capital Management LP	North America	Financial investor
Fox Run Management LLC	Fox Run Management LLC	North America	Financial investor
Acrospire Financial Holdings LLC	Acrospire Investment Management LLC	North America	Financial investor
Tudor Investment Corp.	Tudor Investment Corp.	North America	Financial investor
Rivulet Capital LLC	Rivulet Capital LLC	North America	Financial investor
Elliott Capital Advisors LP	Elliott Management Corp.	North America	Financial investor
OxFORD Asset Management LLP	OxFORD Asset Management LLP	Europe	Financial investor
Corsair Capital Management LP	Corsair Capital Management LP	North America	Financial investor
Armistice Capital LLC	Armistice Capital LLC	North America	Financial investor
Kamunting Street Capital Management LP	Kamunting Street Capital Management LP	North America	Financial investor
EMG Holdings LP	Ellington Management Group LLC	North America	Financial investor
Trexquant Investment LP	Trexquant Investment LP	North America	Financial investor
Tricadia Holdings LP	Tricadia Capital Management LLC	North America	Financial investor
Kingdon Capital Management LLC	Kingdon Capital Management LLC	North America	Financial investor
Point72 Asset Management LP	Cubist Systematic Strategies LLC	North America	Financial investor
GMT Capital Corp.	GMT Capital Corp.	North America	Financial investor
Laurion Capital Management LP	Laurion Capital Management LP	North America	Financial investor
Invictus RG Pte Ltd.	Invictus RG Pte Ltd.	Asia	Financial investor
Atlantic Investment Management, Inc.	Atlantic Investment Management, Inc.	North America	Financial investor
Sheffield Asset Management LLC	Sheffield Asset Management LLC	North America	Financial investor
Pacad Investment Ltd.	Pacad Investment Ltd.	North America	Financial investor
The Claar Family Spray Trust	Claar Advisors LLC	North America	Financial investor
Ionic Capital Management Holdings LP	Ionic Capital Management LLC	North America	Financial investor
Balyasny Asset Management LP	Balyasny Asset Management LP	North America	Financial investor
JPMorgan Chase & Co.	Highbridge Capital Management (UK) Ltd.	Europe	Financial investor
Quadrature Capital Ltd.	Quadrature Capital Ltd.	Europe	Financial investor
Quantbot Technologies LP	Quantbot Technologies LP	North America	Financial investor
Millennium Management LLC	Millennium Management LLC	North America	Financial investor
Bogle Investment Management LP	Bogle Investment Management LP	North America	Financial investor
Renaissance Technologies Holdings Corp.	Renaissance Technologies LLC	North America	Financial investor
Hutchin Hill Capital LP	Hutchin Hill Capital LP	North America	Financial investor
Engineers Gate LP	Engineers Gate Manager LP	North America	Financial investor
Cipher Capital LP	Cipher Capital LP	North America	Financial investor
HighVista Management Partners LP	HighVista Strategies LLC	North America	Financial investor
HBK Partners II LP	HBK Investments LP	North America	Financial investor
D. E. Shaw & Co. LP	D. E. Shaw & Co. LP	North America	Financial investor
A.R.T. Advisors LLC	A.R.T. Advisors LLC	North America	Financial investor
Squarepoint Holdings LP	Squarepoint OPS LLC	North America	Financial investor
AlphaCrest Capital Management LLC	AlphaCrest Capital Management LLC	North America	Financial investor
MW Group LP	Marshall Wace North America LP	North America	Financial investor
S.R Accord Ltd.	Sphera Funds Management Ltd.	Middle East	Financial investor
GFH II LLC	Citadel Advisors LLC	North America	Financial investor
Capital Fund Management SA	Capital Fund Management SA	Europe	Financial investor
Portolan Capital Management LLC	Portolan Capital Management LLC	North America	Financial investor
Corvex Management LP	Corvex Management LP	North America	Financial investor
Balter Capital Management LLC	Balter Liquid Alternatives LLC	North America	Financial investor
Samlyn LP	Samlyn Capital LLC	North America	Financial investor
RBF Capital LLC	RBF Capital LLC	North America	Financial investor
Bateleur Capital (Pty) Ltd.	Bateleur Capital (Pty) Ltd.	Africa	Financial investor
Two Sigma Advisers LP	Two Sigma Advisers LP	North America	Financial investor
Man Group plc	AHL Partners LLP	Europe	Financial investor
Blackstone Holdings I LP	Blackstone Alternative Investment Advisors LLC	North America	Financial investor
Alambic Investment Management LP	Alambic Investment Management LP	North America	Financial investor
Wynnefield Capital, Inc.	Wynnefield Capital, Inc.	North America	Financial investor
Two Sigma Investments LP	Two Sigma Investments LP	North America	Financial investor
Springbok Capital Management LLC	Springbok Capital Management LLC	North America	Financial investor
Fondren Management LP	Fondren Management LP	North America	Financial investor
Euclidean Technologies Management LLC	Euclidean Technologies Management LLC	North America	Financial investor
MSD Partners LP	MSD Partners LP	North America	Financial investor
Springhouse Capital Management LP	Springhouse Capital Management LP	North America	Financial investor
Zebra Capital Management LLC	Zebra Capital Management LLC	North America	Financial investor
ASTMAX Co., Ltd. (7162)	Astmax Asset Management, Inc.	Asia	Financial investor
Winton Group Ltd. (United Kingdom)	Winton Capital Management Ltd.	Europe	Financial investor
Sabre Fund Management Group Ltd.	Sabre Fund Management Ltd.	Europe	Financial investor
Platinum Asset Management Ltd.	Platinum Investment Management Ltd.	Pacific	Financial investor
Arcus Investment Ltd.	Arcus Investment Ltd.	Europe	Financial investor
TIAA Board of Overseers	Symphony Asset Management LLC	North America	Financial investor
Nezu Asia Capital Management Ltd.	Nezu Asia Capital Management Ltd.	Asia	Financial investor
ERIM Ltd.	ERIM LLP	Europe	Financial investor
Allan & Gill Gray Foundation	Orbis Investment Management Ltd.	North America	Financial investor
JACCAR Holdings SA	JACCAR Holdings SA	Europe	Financial investor
Chimera Financial Investments LLC	Chimera Financial Investments LLC	Middle East	Financial investor
MMS Participacoes SA	MMS Participacoes SA	Latin America	Financial investor
Givesco A/S	Givesco A/S	Europe	Financial investor
Nordnet AB	Nordnet AB	Europe	Financial investor
Massachusetts Mutual Life Insurance Co.	Massachusetts Mutual Life Insurance Co. (Investment Portfolio)	North America	Financial investor
Generation Vie SA	Generation Vie SA	Europe	Financial investor
Standard Bank Group Ltd.	Liberty Group Ltd. (Investment Portfolio)	Africa	Financial investor
Old Mutual Life Assurance Co. (South Africa) Ltd.	Old Mutual Life Assurance Co. (South Africa) Ltd.	Africa	Financial investor
MMI Holdings Ltd.	MMI Group Ltd.	Africa	Financial investor
Thelem Assurances	Thelem Assurances	Europe	Financial investor
Unipol Gruppo SpA	UnipolSai Assicurazioni SpA (Investment Portfolio)	Europe	Financial investor
Mutuelle des Architectes Francais Assurances SAM	Mutuelle des Architectes Francais Assurances SAM	Europe	Financial investor
SGAM AG2R La Mondiale	La Mondiale SAM (Investment Portfolio)	Europe	Financial investor
MetLife, Inc.	Metropolitan Life Insurance Co. (Investment Portfolio)	North America	Financial investor
Prudential Plc	PPM America, Inc.	North America	Financial investor
Government of New Zealand	Accident Compensation Corp.	Pacific	Financial investor
AIA Group Ltd.	AIA Co., Ltd. (Invt Port Thailand)	Asia	Financial investor
Menora Mivtachim Holdings Ltd.	Menora Mivtachim Insurance Ltd.	Middle East	Financial investor
Trilinear Holdings Pty Ltd.	Trilinear Investment Managers (Pty) Ltd.	Africa	Financial investor
Grazer Wechselseitige Versicherung AG	Security Kapitalanlage AG	Europe	Financial investor
Credit Suisse Group AG	Credit Suisse AG	Europe	Financial investor
Sparinvest Holdings SE	Sparinvest SA (Denmark)	Europe	Financial investor
Old Mutual Plc	Old Mutual Global Investors (UK) Ltd.	Europe	Financial investor
BNP Paribas SA	Alfred Berg Kapitalforvaltning AS	Europe	Financial investor
Danske Bank A/S	Danske Capital AS	Europe	Financial investor
Piper Jaffray Cos.	Advisory Research, Inc.	North America	Financial investor
O'Shaughnessy Family Partners LLC	O'Shaughnessy Asset Management LLC	North America	Financial investor
FIL Ltd.	FIL Gestion SASU	Europe	Financial investor
Credit Suisse Group AG	Credit Suisse Asset Management (Schweiz) AG	Europe	Financial investor
The Principal Financial Group, Inc.	Principal Global Investors LLC	North America	Financial investor
Asset Value Investors Ltd.	Asset Value Investors Ltd.	Europe	Financial investor
Government of Norway	KLP Kapitalforvaltning AS	Europe	Financial investor
UBS Group AG	UBS AG (Investment Management)	Europe	Financial investor
Dimensional Fund Advisors LP	Dimensional Fund Advisors Ltd.	Europe	Financial investor
State Street Corp.	State Street Global Advisors Ltd.	Europe	Financial investor
Wintrust Financial Corp.	Great Lakes Advisors LLC	North America	Financial investor
OP Financial Group	OP Asset Management Ltd.	Europe	Financial investor
BlackRock, Inc.	BlackRock Fund Advisors	North America	Financial investor
Ness, Risan & Partners AS	NRP Asset Management AS	Europe	Financial investor
The Bank of New York Mellon Corp.	Mellon Capital Management Corp.	North America	Financial investor
TIAA Board of Overseers	Teachers Advisors LLC	North America	Financial investor
KBC Group SA/NV	KBC Asset Management NV	Europe	Financial investor
AXA SA	AXA Rosenberg Investment Management LLC	North America	Financial investor
JPMorgan Chase & Co.	JPMorgan Asset Management (UK) Ltd.	Europe	Financial investor
Old Mutual Plc	Old Mutual Investment Group (Pty) Ltd.	Africa	Financial investor
Global X Management Co. LLC	Global X Management Co. LLC	North America	Financial investor
The Charles Schwab Corp.	Charles Schwab Investment Management, Inc.	North America	Financial investor
Government of Norway	Statoil Kapitalforvaltning ASA	Europe	Financial investor
Thrivent Financial for Lutherans	Thrivent Asset Management LLC	North America	Financial investor
Banca Esperia SpA	Duemme SGR SpA	Europe	Financial investor
SEI Investments Co.	SEI Investments Management Corp.	North America	Financial investor
Acuitas Investments LLC	Acuitas Investments LLC	North America	Financial investor
Union Asset Management Holding AG	Quoniam Asset Management GmbH	Europe	Financial investor
BPCE SA	Natixis Asset Management SA	Europe	Financial investor
OM Asset Management Plc	Acadian Asset Management LLC	North America	Financial investor
Nordea Bank AB	Nordea Investment Management AB (Norway)	Europe	Financial investor
Moerus Capital Management LLC	Moerus Capital Management LLC	North America	Financial investor
The Bessemer Group, Inc.	Bessemer Investment Management LLC	North America	Financial investor
BlackRock, Inc.	BlackRock Investment Management (UK) Ltd.	Europe	Financial investor
Standard Bank Group Ltd.	Stanlib Asset Management Ltd.	Africa	Financial investor
Value Square NV	Value Square NV	Europe	Financial investor
Assenagon SA	Assenagon Asset Management SA (Germany)	Europe	Financial investor
DST Systems, Inc.	Red Rocks Capital LLC	North America	Financial investor
State of Zurich	Zurcher Kantonalbank (Investment Management)	Europe	Financial investor
Dimensional Fund Advisors LP	Dimensional Fund Advisors LP	North America	Financial investor
AXA SA	AXA Investment Managers UK Ltd.	Europe	Financial investor
Storebrand ASA	Storebrand Asset Management AS	Europe	Financial investor
DNB ASA	DNB Asset Management AS	Europe	Financial investor
TIAA Board of Overseers	TIAA-CREF Investment Management LLC	North America	Financial investor
The Vanguard Group, Inc.	Vanguard Investments Australia Ltd.	Pacific	Financial investor
Marsh & McLennan Cos., Inc.	Mercer Global Investments Europe Ltd.	Europe	Financial investor
Arctic Securities ASA	Arctic Fund Management AS	Europe	Financial investor
KBC Group SA/NV	KBC Fund Management Ltd.	Europe	Financial investor
SAS Rue la Boetie	Pioneer Investments Austria GmbH	Europe	Financial investor
LarrainVial SA	LarrainVial Asset Management AGF SA	Latin America	Financial investor
SURA Asset Management SA	Administradora General de Fondos Sura SA	Latin America	Financial investor
Compass Group Chile Inversiones Ltda. y Cia En CPA	Compass Group Chile SA Administradora General de Fondos	Latin America	Financial investor
Banco Bilbao Vizcaya Argentaria SA	BBVA Asset Management Administradora General de Fondos SA	Latin America	Financial investor
Moneda Asset Management SA	Moneda SA Administradora General de Fondos	Latin America	Financial investor
Credicorp Ltd.	Credicorp Capital Asset Management SA AGF	Latin America	Financial investor
Bicecorp SA	BICE Inversiones Administradora General de Fondos SA	Latin America	Financial investor
Santander Asset Management Investment Holdings Ltd.	Santander Asset Management SA AGF	Latin America	Financial investor
KBC Group SA/NV	CSOB Asset Management as	Europe	Financial investor
Danske Bank A/S	Danske Bank A/S (Investment Management)	Europe	Financial investor
Zavarovalnica Triglav dd	Triglav Skladi doo	Europe	Financial investor
Alpen Invest Funds Managment Co. LLC	Alpen Invest Funds Managment Co. LLC	Europe	Financial investor
Ando Securities Co., Ltd.	Carrera Asset Management Co., Ltd.	Asia	Financial investor
Nova Ljubljanska Banka dd	NLB Skladi, d.o.o.	Europe	Financial investor
ALTA Skupina dd	ALTA Funds, Asset Management, Inc.	Europe	Financial investor
Raiffeisen Bank International AG	Raiffeisen Invest doo	Europe	Financial investor
Perspektiva FT Ltd.	Perspektiva DZU, Asset Management, Ltd.	Europe	Financial investor
Eaton Vance Corp.	Parametric Portfolio Associates LLC	North America	Financial investor
Universal-Investment GmbH	Universal-Investment-Gesellschaft mbH (Invt Mgmt)	Europe	Financial investor
Russell Investment Management LLC	Russell Investments Ltd.	Europe	Financial investor
The Charger Corp.	First Trust Advisors LP	North America	Financial investor
Bank of Montreal	BMO Asset Management Corp.	North America	Financial investor
Livforsakringsbolaget Skandia Omsesidigt	Skandia Investment Management AB	Europe	Financial investor
Wells Fargo & Co.	Analytic Investors LLC	North America	Financial investor
BI Holding A/S	BI Asset Management Fondsmaeglerselskab A/S	Europe	Financial investor
Prudential Financial, Inc.	PGIM, Inc.	North America	Financial investor
Gutmann Finanz Strategien AG	Gutmann Finanz Strategien AG	Europe	Financial investor
SAS Rue la Boetie	Pioneer Investments Kapitalanlagegesellschaft mbH	Europe	Financial investor
OpenCapital SA	OpenCapital SA	Europe	Financial investor
Prudential Financial, Inc.	Quantitative Management Associates LLC	North America	Financial investor
Borea AS	Borea Asset Management AS	Europe	Financial investor
ORIX Corp.	Robeco Institutional Asset Management BV	Europe	Financial investor
ClariVest Asset Management LLC	ClariVest Asset Management LLC	North America	Financial investor
Geode Holdings Trust	Geode Capital Management LLC	North America	Financial investor
Holberg Forvaltning AS	Holberg Fondsforvaltning AS	Europe	Financial investor
New York Life Insurance Co.	MacKay Shields LLC	North America	Financial investor
Sutterluty Investment Management GmbH	Sutterluty Investment Management GmbH	Europe	Financial investor
Commerzbank AG	COMMERZBANK AG (Investment Management)	Europe	Financial investor
Bankinter SA	Bankinter Gestion de Activos SA SGIIC	Europe	Financial investor
Wyss & Partner Vermogensverwaltung und Anlageberatung AG	Wyss & Partner Vermogensverwaltung und Anlageberatung AG	Europe	Financial investor
MARCH DELGADO FAMILY	Inversis Gestion SGIIC SA	Europe	Financial investor
Investec Plc	Investec Asset Management Ltd.	Europe	Financial investor
Marketfield Asset Management LLC	Marketfield Asset Management LLC	North America	Financial investor
Grantham, Mayo, Van Otterloo & Co. LLC	Grantham, Mayo, Van Otterloo & Co. LLC	North America	Financial investor
Legg Mason, Inc.	QS Investors LLC	North America	Financial investor
Connor, Clark & Lunn Financial Group Ltd.	Connor, Clark & Lunn Investment Management Ltd.	North America	Financial investor
Skandinaviska Enskilda Banken AB	SEB Investment Management AB	Europe	Financial investor
Keppler Asset Management, Inc.	Keppler Asset Management, Inc.	North America	Financial investor
OM Asset Management Plc	Thompson, Siegel & Walmsley LLC	North America	Financial investor
New York Life Insurance Co.	Cornerstone Capital Management Holdings LLC	North America	Financial investor
CI Financial Corp.	First Asset Investment Management, Inc.	North America	Financial investor
BlackRock, Inc.	BlackRock Advisors (UK) Ltd.	Europe	Financial investor
Robert B. Gillam Revocable Trust	McKinley Capital Management LLC	North America	Financial investor
Invesco Ltd.	Invesco PowerShares Capital Management LLC	North America	Financial investor
MIPL Holdings Ltd.	Mondrian Investment Partners Ltd.	Europe	Financial investor
Stone Ridge Holdings Group LLC	Stone Ridge Asset Management LLC	North America	Financial investor
Oberbanscheidt & Cie Vermougensverwaltungsgesellschaft mbH	Oberbanscheidt & Cie Vermougensverwaltungsgesellschaft mbH	Europe	Financial investor
Northern Trust Corp.	Northern Trust Investments, Inc.	North America	Financial investor
Peacock Capital GmbH	Peacock Capital GmbH	Europe	Financial investor
SAS Rue la Boetie	Etoile Gestion SA	Europe	Financial investor
Allianz SE	Allianz Global Investors U.S. LLC	North America	Financial investor
Mont Blanc Capital Management AG	Mont Blanc Capital Management AG	Europe	Financial investor
Allianz SE	Allianz Global Investors GmbH	Europe	Financial investor
Pareto AS	Pareto Asset Management AS	Europe	Financial investor
Lazard Ltd.	Lazard Asset Management LLC	North America	Financial investor
Coronation Fund Managers Ltd.	Coronation Asset Management (Pty) Ltd.	Africa	Financial investor
Legal & General Group Plc	Legal & General Investment Management Ltd.	Europe	Financial investor
Alquity Investment Management Ltd.	Alquity Investment Management Ltd.	Europe	Financial investor
State Street Corp.	State Street Global Advisors, Australia, Ltd.	Pacific	Financial investor
Allan & Gill Gray Foundation	Allan Gray (Pty) Ltd.	Africa	Financial investor
First Avenue Investment Management (Pty) Ltd.	First Avenue Investment Management (Pty) Ltd.	Africa	Financial investor
Barclays Africa Group Ltd.	ABSA Investment Management Services Pty Ltd. (Invt Mgmt)	Africa	Financial investor
Westwood Global Investments LLC	Westwood Global Investments LLC	North America	Financial investor
Virtus Investment Partners, Inc.	Kayne Anderson Rudnick Investment Management LLC	North America	Financial investor
Sanlam Ltd.	Sanlam Investment Management (Pty) Ltd.	Africa	Financial investor
Grindrod Ltd.	Bridge Fund Managers (Pty) Ltd.	Africa	Financial investor
HSBC Holdings Plc	HSBC Global Asset Management (UK) Ltd.	Europe	Financial investor
Standard Bank Group Ltd.	Stanlib Multi-Manager Ltd.	Africa	Financial investor
Aeon Investment Management (Pty) Ltd.	Aeon Investment Management (Pty) Ltd.	Africa	Financial investor
Invesco Ltd.	Invesco Asset Management Deutschland GmbH	Europe	Financial investor
Banque Pictet & Cie SA	Pictet Asset Management Ltd.	Europe	Financial investor
Barclays Africa Group Ltd.	ABSA Alternative Asset Management Pty Ltd.	Africa	Financial investor
Union Asset Management Holding AG	Union Investment Privatfonds GmbH	Europe	Financial investor
Bank of Nova Scotia	1832 Asset Management LP	North America	Financial investor
Old Mutual Plc	Marriott Asset Management (Pty) Ltd.	Africa	Financial investor
DekaBank Deutsche Girozentrale	Deka Investment GmbH	Europe	Financial investor
T. Rowe Price Group, Inc.	T. Rowe Price International Ltd.	Europe	Financial investor
TA Associates Management Holding LP	Russell Investments Implementation Services LLC	North America	Financial investor
Efficient Group Ltd.	Boutique Investment Partners (Pty) Ltd.	Africa	Financial investor
Ameriprise Financial, Inc.	Threadneedle Asset Management Ltd.	Europe	Financial investor
Baillie Gifford & Co.	Baillie Gifford & Co.	Europe	Financial investor
J.M. Busha Investment Group (Pty) Ltd.	JM Busha Asset Managers (Pty) Ltd.	Africa	Financial investor
Driehaus Capital Holdings LLC	Driehaus Capital Management LLC	North America	Financial investor
Prudential Plc	Prudential Investment Managers (South Africa) (Pty) Ltd.	Africa	Financial investor
Abax Investments (Pty) Ltd.	Abax Investments (Pty) Ltd.	Africa	Financial investor
Liechtensteinische Landesbank AG	LLB Asset Management AG	Europe	Financial investor
Aviva Plc	Aviva Investors Global Services Ltd.	Europe	Financial investor
Vunani Ltd.	Vunani Fund Managers (Pty) Ltd.	Africa	Financial investor
Schroders Plc	Schroder Investment Management Ltd.	Europe	Financial investor
Morgan Stanley	Morgan Stanley Investment Management, Inc.	North America	Financial investor
Swiss Rock Asset Management AG	Swiss Rock Asset Management AG	Europe	Financial investor
Standard Bank Group Ltd.	Melville Douglas Investment Management (Pty) Ltd.	Africa	Financial investor
FINANZINVEST Consulting GmbH	FINANZINVEST Consulting GmbH	Europe	Financial investor
OM Asset Management Plc	Copper Rock Capital Partners LLC	North America	Financial investor
Nordea Bank AB	Nordea Investment Funds SA	Europe	Financial investor
Coreshares Asset Management Pty Ltd.	Coreshares Asset Management Pty Ltd.	Africa	Financial investor
Counterpoint Boutique (Pty) Ltd.	Counterpoint Boutique (Pty) Ltd.	Africa	Financial investor
Old Mutual Plc	Old Mutual Customised Solutions (Pty) Ltd.	Africa	Financial investor
Sanlam Ltd.	Sanlam Multi Manager International (Pty) Ltd.	Africa	Financial investor
Taquanta Investment Holdings (Pty) Ltd.	Taquanta Asset Managers Pty Ltd.	Africa	Financial investor
Sasfin Holdings Ltd.	Sasfin Asset Managers Pty Ltd.	Africa	Financial investor
Naventi Fonder AB	Naventi Fonder AB	Europe	Financial investor
CaixaBank SA	BPI Gestao de Activos SGFIM SA	Europe	Financial investor
Barclays Africa Group Ltd.	Absa Capital Pty Ltd. (Investment Management)	Africa	Financial investor
Northern Trust Corp.	Northern Trust Global Investments Ltd.	Europe	Financial investor
LahiTapiola-ryhma	LahiTapiola Varainhoito Oy	Europe	Financial investor
Sun Life Financial, Inc.	MFS Investment Management Canada Ltd.	North America	Financial investor
Foord Asset Management (Pty) Ltd.	Foord Asset Management (Pty) Ltd.	Africa	Financial investor
Sanlam Ltd.	Satrix Managers (RF) (Pty) Ltd.	Africa	Financial investor
Portfolio Analytics Pty Ltd.	Portfolio Analytics Pty Ltd.	Africa	Financial investor
Societe Generale SA	FRANKFURT-TRUST Investment-Gesellschaft mbH	Europe	Financial investor
CIP Management Holdings LP	Champlain Investment Partners LLC	North America	Financial investor
Sanlam Ltd.	Sanlam Investment Management (Namibia) (Pty) Ltd.	Africa	Financial investor
PBT Group Ltd.	Prescient Investment Management (Pty) Ltd.	Africa	Financial investor
JPMorgan Chase & Co.	JPMorgan Asset Management (Taiwan) Ltd.	Asia	Financial investor
Prudential Plc	Prudential Portfolio Managers (Namibia) (Pty) Ltd.	Africa	Financial investor
Alexander Forbes Ltd.	Alexander Forbes Investments Ltd.	Africa	Financial investor
Banque de Luxembourg SA	BLI - Banque de Luxembourg Investments SA	Europe	Financial investor
Danske Bank A/S	Danske Capital Finland Ltd.	Europe	Financial investor
MMI Holdings Ltd.	Momentum Asset Management Pty Ltd.	Africa	Financial investor
BlackRock, Inc.	BlackRock Advisors LLC	North America	Financial investor
Namibia Asset Management Ltd.	Namibia Asset Management Ltd. (Investment Management)	Africa	Financial investor
PSG Group Ltd.	PSG Asset Management (Pty) Ltd.	Africa	Financial investor
HAC VermogensManagement AG	HAC VermogensManagement AG	Europe	Financial investor
FirstRand Ltd.	Ashburton Fund Managers (Pty) Ltd.	Africa	Financial investor
UBS Group AG	UBS Asset Management (UK) Ltd.	Europe	Financial investor
Barclays Africa Group Ltd.	Absa Asset Management Pty Ltd. (Investment Management)	Africa	Financial investor
FMR LLC	FMR Investment Management (UK) Ltd.	Europe	Financial investor
Asset Management One Co., Ltd.	Asset Management One Co., Ltd.	Asia	Financial investor
WBC Holdings LP	William Blair Investment Management LLC	North America	Financial investor
Royal Bank of Canada	LMCG Investments LLC	North America	Financial investor
Deutsche Bank AG	DBX Advisors LLC	North America	Financial investor
Royal Bank of Canada	RBC Global Asset Management (UK) Ltd.	Europe	Financial investor
Westwood Holdings Group, Inc.	Westwood International Advisors, Inc.	North America	Financial investor
Morgan Stanley	Morgan Stanley Investment Management Co.	Asia	Financial investor
Skandinaviska Enskilda Banken AB	SEB Wealth Management Finland Ltd.	Europe	Financial investor
AXA SA	AXA Investment Managers (Paris) SA	Europe	Financial investor
B. Metzler seel. Sohn & Co. Holding AG	Metzler Asset Management GmbH	Europe	Financial investor
Victory Capital Holdings, Inc.	Victory Capital Management, Inc.	North America	Financial investor
Bank fur Kirche und Caritas eG	Bank fur Kirche und Caritas eG	Europe	Financial investor
Mirabaud SCA	Mirabaud Asset Management Ltd.	Europe	Financial investor
Mune Dos Pte Ltd.	Mune Dos Pte Ltd.	Asia	Financial investor
Argenta Bank en Verzekeringsgroep NV	Argenta Banque d'Epargne SA	Europe	Financial investor
Penserra Capital Management LLC	Penserra Capital Management LLC	North America	Financial investor
Bank Gutmann AG	Gutmann KAG	Europe	Financial investor
First Eagle Holdings, Inc.	First Eagle Investment Management LLC	North America	Financial investor
GVC Gaesco Holding SL	GVC Gaesco Gestion SGIIC SA	Europe	Financial investor
NN Group NV	NNIP Advisors BV	Europe	Financial investor
ORIX Corp.	RobecoSAM AG	Europe	Financial investor
EFG International AG	A&G Fondos SGIIC SA	Europe	Financial investor
Swedbank AB	Swedbank Robur Fonder AB	Europe	Financial investor
Rieter Fischer Partners AG	Rieter Fischer Partners AG	Europe	Financial investor
FMR LLC	Fidelity Management & Research Co.	North America	Financial investor
Okoworld AG	OKOWORLD LUX SA	Europe	Financial investor
Montanaro Asset Management Ltd.	Montanaro Asset Management Ltd.	Europe	Financial investor
Gesiuris Asset Management SGIIC SA	Gesiuris Asset Management SGIIC SA	Europe	Financial investor
Arrowstreet Capital Holding LLC	Arrowstreet Capital LP	North America	Financial investor
Nordea Bank AB	Nordea Investment Management AB	Europe	Financial investor
Dr. Hellerich & Co. GmbH	Dr. Hellerich & Co. GmbH	Europe	Financial investor
DINKELSPIEL FAMILY	E. Ohman J :or Fonder AB	Europe	Financial investor
Banco Bilbao Vizcaya Argentaria SA	BBVA Asset Management SA SGIIC	Europe	Financial investor
Banque Degroof Petercam SA	Degroof Petercam Asset Management SA	Europe	Financial investor
Old Mutual Plc	Old Mutual Investment Management Ltd.	Europe	Financial investor
FMR LLC	Fidelity (Canada) Asset Management ULC	North America	Financial investor
Affiliated Managers Group, Inc.	SouthernSun Asset Management LLC	North America	Financial investor
PT Asset Management GmbH	PT Asset Management GmbH	Europe	Financial investor
State of Zurich	Swisscanto Fondsleitung AG	Europe	Financial investor
Ruegg Asset Management AG	Ruegg Asset Management AG	Europe	Financial investor
Santa Lucia SA Compania de Seguros y Reaseguros	Alpha Plus Gestora SGIIC SA	Europe	Financial investor
SIA Holding SA	SIA Funds AG	Europe	Financial investor
Bellevue Group AG	Bellevue Asset Management AG	Europe	Financial investor
Nomura Holdings, Inc.	Nomura Asset Management Co., Ltd.	Asia	Financial investor
Invesco Ltd.	Invesco Asset Management Ltd.	Europe	Financial investor
